Grand Prix,Driver,Car,Time
Bahrain,MaxVerstappen,Red Bull Racing Honda RBPT,1:32.608
Saudi Arabia,CharlesLeclerc,Ferrari,1:31.632
Australia,CharlesLeclerc,Ferrari,1:19.813
Japan,MaxVerstappen,Red Bull Racing Honda RBPT,1:33.706
China,FernandoAlonso,Aston Martin Aramco Mercedes,1:37.810
Miami,OscarPiastri,McLaren Mercedes,1:30.634
Emilia-Romagna,GeorgeRussell,Mercedes,1:18.589
Monaco,LewisHamilton,Mercedes,1:14.165
Canada,LewisHamilton,Mercedes,1:14.856
Spain,LandoNorris,McLaren Mercedes,1:17.115
Austria,FernandoAlonso,Aston Martin Aramco Mercedes,1:07.694
Great Britain,CarlosSainz,Ferrari,1:28.293
Hungary,GeorgeRussell,Mercedes,1:20.305
Belgium,SergioPerez,Red Bull Racing Honda RBPT,1:44.701
Netherlands,LandoNorris,McLaren Mercedes,1:13.817
Italy,LandoNorris,McLaren Mercedes,1:21.432
Azerbaijan,LandoNorris,McLaren Mercedes,1:45.255
Singapore,DanielRicciardo,RB Honda RBPT,1:34.486
United States,EstebanOcon,Alpine Renault,1:37.330
Mexico,CharlesLeclerc,Ferrari,1:18.336
Brazil,MaxVerstappen,Red Bull Racing Honda RBPT,1:20.472
Las Vegas,LandoNorris,McLaren Mercedes,1:34.876
Qatar,LandoNorris,McLaren Mercedes,1:22.384
Abu Dhabi,KevinMagnussen,Haas Ferrari,1:25.637
